"","from","to","edge_direction","edge_type","frequency"
"12981","TNK26","TNK6","-->","dd_nl/pd_nl",45
"13053","TNK29","TNK66","-->","dd_nl/pd_nl",23
"13113","TNK3","TNK52","-->","dd_nl/pd_nl",30
"13200","TNK32","TNK51","-->","dd_nl/pd_nl",21
"13248","TNK33","B44","-->","dd_nl/pd_nl",25
"13255","TNK33","Epi15","-->","dd_nl/pd_nl",22
"13266","TNK33","Mye9","-->","dd_nl/pd_nl",51
"13269","TNK33","Stromal18","-->","dd_nl/pd_nl",22
"13282","TNK33","TNK15","-->","dd_nl/pd_nl",23
"13284","TNK33","TNK17","-->","dd_nl/pd_nl",73
"13294","TNK33","TNK66","-->","dd_nl/pd_nl",24
"13395","TNK38","B16","-->","dd_nl/pd_nl",81
"13397","TNK38","B2","-->","dd_nl/pd_nl",34
"13409","TNK38","Mye17","-->","dd_nl/pd_nl",40
"13417","TNK38","Mye57","-->","dd_nl/pd_nl",38
"13461","TNK4","Epi15","-->","dd_nl/pd_nl",34
"13556","TNK41","TNK50","-->","dd_nl/pd_nl",31
"13623","TNK42","Mye14","-->","dd_nl/pd_nl",28
"13636","TNK42","Mye74","-->","dd_nl/pd_nl",25
"13652","TNK42","TNK15","-->","dd_nl/pd_nl",46
"13689","TNK44","Epi10","-->","dd_nl/pd_nl",24
"13713","TNK44","Mye84","-->","dd_nl/pd_nl",24
"13729","TNK44","TNK57","-->","dd_nl/pd_nl",36
"13800","TNK50","B35","-->","dd_nl/pd_nl",52
"13802","TNK50","B42","-->","dd_nl/pd_nl",31
"13916","TNK51","TNK42","-->","dd_nl/pd_nl",39
"13918","TNK51","TNK5","-->","dd_nl/pd_nl",27
"14097","TNK57","TNK44","-->","dd_nl/pd_nl",46
"14155","TNK6","TNK3","-->","dd_nl/pd_nl",30
"14204","TNK66","Mye14","-->","dd_nl/pd_nl",27
"14228","TNK66","TNK29","-->","dd_nl/pd_nl",29
"14275","TNK67","B6","-->","dd_nl/pd_nl",36
"14306","TNK67","Mye68","-->","dd_nl/pd_nl",33
"14423","TNK8","Mye5","-->","dd_nl/pd_nl",36
